"","ivg_recours","ivg_horsdep","ivg_ville","ivg_chir","ivg_ag","ivg_1314","ivg_privé","img_recours","dens_nb_gynec_2020","proxmat_2000","proxmat_2008","proxmat_2017","dens_nb_sgf_.2020","dens_nb_medg_2020","icf_.2020","ivg_recours","ivg_horsdep","ivg_ville","ivg_chir","ivg_ag","ivg_1314","ivg_privé","img_recours","dens_nb_gynec_2020","proxmat_2000","proxmat_2008","proxmat_2017","dens_nb_sgf_.2020","dens_nb_medg_2020","icf_.2020","clust","codgeo","dens_nb_gynec_2020","proxmat_2000","proxmat_2008","proxmat_2017","dens_nb_sgf_.2020","dens_nb_medg_2020","icf_.2020"
"01",614.477908202024,47.4233128834356,30.0099700897308,15.7041540020263,88.3870967741936,4.46043165467626,0,13.4780797412209,9.1,3.5,2.8,4.6,27.2,68.2,178,614.477908202024,47.4233128834356,30.0099700897308,15.7041540020263,88.3870967741936,4.46043165467626,0,13.4780797412209,9.1,3.5,2.8,4.6,27.2,68.2,178,"1","01","9.1","3.5","2.8","4.6","27.2","68.2",178
"02",1167.78080382933,17.780661907852,6.64310954063604,17.5886524822695,99.5967741935484,4.66717674062739,0,5.77700751010976,8.9,0,0,0.4,21,71.6,192,1167.78080382933,17.780661907852,6.64310954063604,17.5886524822695,99.5967741935484,4.66717674062739,0,5.77700751010976,8.9,0,0,0.4,21,71.6,192,"1","02","8.9","0","0","0.4","21","71.6",192
"03",1392.17796914245,8.68596881959911,34.4329896907216,20.8722741433022,99.5024875621891,4.47284345047923,40,27.2694653749551,7.3,0.2,0.3,0.3,23.2,86,175,1392.17796914245,8.68596881959911,34.4329896907216,20.8722741433022,99.5024875621891,4.47284345047923,40,27.2694653749551,7.3,0.2,0.3,0.3,23.2,86,175,"1","03","7.3","0.2","0.3","0.3","23.2","86",175
"04",1168.93880934008,37.6288659793814,43.2762836185819,10.5911330049261,100,0.87719298245614,0,11.432164394524,11.1,13.6,12.4,11.8,25,110.9,176,1168.93880934008,37.6288659793814,43.2762836185819,10.5911330049261,100,0.87719298245614,0,11.432164394524,11.1,13.6,12.4,11.8,25,110.9,176,"1","04","11.1","13.6","12.4","11.8","25","110.9",176
"05",1976.44108621771,8.3495145631068,64.9415692821369,15.5932203389831,100,7.46268656716418,0,46.1939485927344,3.3,7,6.6,6.3,39.2,139.3,171,1976.44108621771,8.3495145631068,64.9415692821369,15.5932203389831,100,7.46268656716418,0,46.1939485927344,3.3,7,6.6,6.3,39.2,139.3,171,"3","05","3.3","7","6.6","6.3","39.2","139.3",171
"06",1968.68386992707,3.2599837000815,57.5887631681623,15.440144375376,99.8701298701299,10.2865194927196,54.5454545454545,54.9203654700684,27.8,1.6,1.6,1.7,20.4,124.1,184,1968.68386992707,3.2599837000815,57.5887631681623,15.440144375376,99.8701298701299,10.2865194927196,54.5454545454545,54.9203654700684,27.8,1.6,1.6,1.7,20.4,124.1,184,"3","06","27.8","1.6","1.6","1.7","20.4","124.1",184
"07",819.592019100543,43.8674033149171,23.8500851788756,10.4452054794521,100,3.38600451467269,25,43.2833945351224,13.5,1.1,1.3,4.6,31.2,85.4,185,819.592019100543,43.8674033149171,23.8500851788756,10.4452054794521,100,3.38600451467269,25,43.2833945351224,13.5,1.1,1.3,4.6,31.2,85.4,185,"1","07","13.5","1.1","1.3","4.6","31.2","85.4",185
"08",1080.51411827384,10.688140556369,48.9984591679507,9.75232198142415,100,7.05521472392638,0,78.2498668087374,0,0.9,6.1,9.4,25,85,182,1080.51411827384,10.688140556369,48.9984591679507,9.75232198142415,100,7.05521472392638,0,78.2498668087374,0,0.9,6.1,9.4,25,85,182,"3","08","0","0.9","6.1","9.4","25","85",182
"09",1627.31431729559,15.5756207674944,14.7169811320755,17.0923379174853,100,4.06320541760722,0,21.4928306057908,7.5,2.3,1.9,2.3,27.1,92.1,172,1627.31431729559,15.5756207674944,14.7169811320755,17.0923379174853,100,4.06320541760722,0,21.4928306057908,7.5,2.3,1.9,2.3,27.1,92.1,172,"1","09","7.5","2.3","1.9","2.3","27.1","92.1",172
"10",1227.31248633282,10.5995717344754,8.35189309576838,30.518018018018,95.2029520295203,5.25030525030525,0,36.9013776514323,10.6,1.2,1.4,3.3,27.1,69.4,179,1227.31248633282,10.5995717344754,8.35189309576838,30.518018018018,95.2029520295203,5.25030525030525,0,36.9013776514323,10.6,1.2,1.4,3.3,27.1,69.4,179,"1","10","10.6","1.2","1.4","3.3","27.1","69.4",179
"11",1497.18673782328,13.8449962377728,24.0322580645161,16.9547325102881,96.6019417475728,6.57327586206897,50,22.9407645311632,9.8,3.5,3.2,4.3,28.1,92,182,1497.18673782328,13.8449962377728,24.0322580645161,16.9547325102881,96.6019417475728,6.57327586206897,50,22.9407645311632,9.8,3.5,3.2,4.3,28.1,92,182,"1","11","9.8","3.5","3.2","4.3","28.1","92",182
"12",1015.77583357974,14.0983606557377,11.986301369863,12.2837370242215,100,1.96463654223969,0,13.9147374462978,4.1,6.3,6.1,6.5,40.6,83.4,176,1015.77583357974,14.0983606557377,11.986301369863,12.2837370242215,100,1.96463654223969,0,13.9147374462978,4.1,6.3,6.1,6.5,40.6,83.4,176,"1","12","4.1","6.3","6.1","6.5","40.6","83.4",176
