"","dep_eta","ivg_recours","ivg_horsdep","ivg_ville","ivg_chir","ivg_ag","ivg_privé","img_recours","ivg_eta_privé","ivg_1314","dens_nb_gynec_2020","proxmat_2000","proxmat_2008","proxmat_2017","dens_nb_sgf_.2020","dens_nb_medg_2020","icf_.2020"
"23","24",1216.80752862195,18.1328545780969,5.22167487684729,21.8562874251497,96.8036529680365,0.311850311850312,17.9823772702751,25,3.37197049525817,"8.6","8","7.8","6.6","16.7","81.8",174
"24","25",1048.44997215519,27.2264631043257,62.8186968838527,15.5270655270655,99.5412844036697,0,54.9470948579915,0,13.1528046421663,"8.4","2.9","3.2","5.8","29.9","98.1",176
"25","26",1389.50298861868,15.4557463672391,34.531526222746,20.5373134328358,98.2558139534884,0,41.7587816261361,0,7.811080835604,"11.4","1.1","1","2","32.4","91.7",186
"26","27",857.394316213838,37.7313432835821,17.135761589404,4.31472081218274,100,0,22.7124322175851,0,3.81526104417671,"6","0","0","0","14","66.3",196
"27","28",994.521618075656,24.4791666666667,28.7009063444109,16.0041841004184,99.3464052287582,2.96610169491525,24.0367762676896,20,7.71428571428571,"8.9","0","3.9","3.5","17.2","58.8",198
"28","29",962.234570446406,8.64316755190729,21.4748380667663,27.1486349848332,99.6275605214153,15.8629441624365,50.820560272705,28.5714285714286,6.22593068035944,"9.3","1.7","1.6","1.4","23.7","100.1",172
"29","2A",1413.5393865872,17.5090252707581,28.3582089552239,14.9312377210216,100,20.8333333333333,47.469606265988,66.6666666666667,4.04312668463612,"15.8","13","11.8","11.2","21.5","110.2",142
"30","2B",1407.38934816818,12.8500823723229,10.0787401574803,8.62068965517241,100,35.2014010507881,39.8945012079168,50,1.77304964539007,"10.2","33.5","32.4","32","12.7","88",127
"31","30",1387.42820160181,20.0154858691444,47.2303206997085,15.0423728813559,100,14.2857142857143,57.2075768257307,50,5.38152610441767,"11.7","0.3","0.3","0.3","32.7","93.1",191
"32","31",1368.95285456186,8.38598506605399,56.1881650177338,24.0920327058376,98.3425414364641,21.942905837239,59.7974552860695,55.5555555555556,11.3333333333333,"23.9","0.5","0.4","0.3","31.2","106.9",162
"33","32",861.354561663444,32.6291079812207,47.2303206997085,17.8885630498534,100,0,80.3596092514,0,3.95480225988701,"7.2","16.8","17.8","17","19.1","101.4",170
"34","33",1311.08489651191,4.86837360259647,51.2704490080056,27.7224199288256,96.8549422336329,4.42857142857143,72.7873445853289,28.5714285714286,12.6791620727674,"22.8","0.1","0.2","0.1","25.8","120.3",161
"35","34",1638.50301154288,7.7027027027027,38.8476209596467,21.7177914110429,99.8116760828625,36.0801050558109,66.1190735434889,66.6666666666667,5.06160506160506,"27","1.2","1.1","0.9","34.3","120.3",171
"36","35",995.272455834785,7.53217259651779,21.0211267605634,34.1898643825839,32.776617954071,1.42666072224699,47.3104864569352,25,4.48979591836735,"13.8","0","0","0","30.7","94.1",174
"37","36",1039.63612735543,13.508064516129,11.6379310344828,9.78260869565217,100,0,11.2029755102955,0,4.16666666666667,"7.2","3.5","3.3","3.1","14.3","67.5",181
"38","37",976.352501986764,7.86206896551724,12.1067031463748,56.2803608605135,25.5240443896424,0.622568093385214,62.7750582672748,20,5.3840063341251,"13.2","0.7","1.1","1","23.4","96.7",174
"39","38",1041.95562260199,13.4798958634654,27.8791504636554,34.9485160508783,96.1005199306759,1.32725010369141,48.93420064269,30,6.21739130434783,"15.4","1","1.1","0.9","33.6","94.7",185
"40","39",1006.26740947075,21.0873146622735,15.0519031141869,17.1628721541156,74.4897959183673,0,20.891364902507,0,3.75,"2.7","1.4","1.2","1.6","24.2","87.4",180
